leader_x,leader_y,leader_theta,leader_vel_linear,leader_vel_angular,sensor_1_x,sensor_1_y,sensor_1_theta,estimated_x,estimated_y,estimated_theta,sensor_2_x,sensor_2_y,sensor_2_theta,estimated_x,estimated_y,estimated_theta,sensor_3_x,sensor_3_y,sensor_3_theta,estimated_x,estimated_y,estimated_theta,sensor_4_x,sensor_4_y,sensor_4_theta,estimated_x,estimated_y,estimated_theta,sensor_5_x,sensor_5_y,sensor_5_theta,estimated_x,estimated_y,estimated_theta
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
1.58205,0.0967482,-0.178142,100000,100000,-1.39016,-0.368989,0.104598,0,0,0,-2.06154,-0.366495,-1.22053,0,0,0,-1.63115,1.24049,0.13798,0,0,0,-1.98263,0.811634,-2.15786,0,0,0,-1.39548,1.09661,-2.88368,0,0,0
1.58205,0.0967503,-0.178155,100000,100000,-1.39016,-0.368994,0.104652,0,0,0,-2.06154,-0.366497,-1.2205,0,0,0,-1.63114,1.24049,0.137983,0,0,0,-1.98262,0.811706,-2.15871,0,0,0,-1.39548,1.09662,-2.88373,0,0,0
1.58205,0.0967519,-0.178147,0,0,-1.39015,-0.368995,0.104664,0,0,0,-2.06153,-0.366512,-1.22028,0,0,0,-1.63114,1.24049,0.13799,0,0,0,-1.98267,0.811642,-2.15755,0,0,0,-1.39549,1.09662,-2.88373,0,0,0
1.58205,0.0967551,-0.17816,0,0,-1.39015,-0.368993,0.104634,0,0,0,-2.06153,-0.366507,-1.22036,0,0,0,-1.63114,1.24049,0.137986,0,0,0,-1.98268,0.811647,-2.15747,0,0,0,-1.39548,1.09662,-2.88372,0,0,0
1.58204,0.0967596,-0.178152,0,0,-1.39016,-0.368992,0.104631,0,0,0,-2.06153,-0.366507,-1.22034,0,0,0,-1.63114,1.24049,0.137981,0,0,0,-1.98264,0.811619,-2.15762,0,0,0,-1.39548,1.09662,-2.88372,0,0,0
1.58204,0.0967572,-0.178171,0,0,-1.39016,-0.36899,0.104617,0,0,0,-2.06153,-0.366498,-1.2205,0,0,0,-1.63114,1.24049,0.137993,0,0,0,-1.98268,0.811648,-2.15759,0,0,0,-1.39549,1.09662,-2.88373,0,0,0
1.58204,0.0967549,-0.178157,0,0,-1.39016,-0.368986,0.104615,0,0,0,-2.06153,-0.366518,-1.22026,0,0,0,-1.63114,1.24049,0.137999,0,0,0,-1.98267,0.811647,-2.15772,0,0,0,-1.39549,1.09662,-2.88377,0,0,0
